,name,ratings,price,imgURL,storage_ram,camera,oS_Processor,display,network,battery
10,"('OnePlus 10R (Forest Green, 128 GB)', None)","('4.3', None)","('₹31,885', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/b/o/-original-imageypzw8gumvyz.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid 12Processor CoreOcta CorePrimary Clock Speed2.2 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2400 x 1080 pixel', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
11,"('OnePlus 11R 5G (Sonic Black, 128 GB)', None)","('4.5', None)","('₹39,989', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/x/a/11r-5g-5011102525-oneplus-original-imagn3afeqfr6acy.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Oxygen OxygenOS based on Android 13Processor CoreOcta CorePrimary Clock Speed3.2 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2772x1240 Pixels', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
12,"('OnePlus 11 5G (Titan Black, 256 GB)', None)","('4.5', None)","('₹61,997', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/j/u/11-5g-b0bqjmrxqv-oneplus-original-imagmugyd8yzjczg.jpeg?q=70', None)","('Internal Storage256 GBRAM16 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid OxygenOS based on Android 13Processor CoreOcta CorePrimary Clock Speed3.2 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216x1440', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
13,"('OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)', None)","('4.3', None)","('₹21,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/o/z/nord-ce-3-lite-5g-ce2099-oneplus-original-imagzj3wqxzgquah.jpeg?q=70', None)","('Internal Storage256 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera108MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Android 13Processor CoreOcta CorePrimary Clock Speed2.2 GHz', None)","('Display Size17.07 cm (6.72 inch)Resolution2400x1080', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
14,"('OnePlus 10R 5G (Sierra Black, 256 GB)', None)","('4.2', None)","('₹35,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/8/d/t/-original-imaggceexfwc4huw.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid 11Processor CoreOcta CorePrimary Clock Speed2.2 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2400 x 1080 pixel', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity4500 mAh', None)"
15,"('OnePlus 11 5G (Titan Black, 128 GB)', None)","('4.4', None)","('₹56,945', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/j/u/11-5g-b0bqjmrxqv-oneplus-original-imagmugyd8yzjczg.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid OxygenOS based on Android 13Processor CoreOcta CorePrimary Clock Speed3.2 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216x1440', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
16,"('OnePlus 10R 5G (Forest Green, 256 GB)', None)","('4.2', None)","('₹35,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/b/o/-original-imageypzw8gumvyz.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid 12Processor CoreOcta CorePrimary Clock Speed2.2 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2400 x 1080 pixel', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
17,"('OnePlus 10R (Forest Green, 256 GB)', None)","('4.1', None)","('₹37,978', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/b/o/-original-imageypzw8gumvyz.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid 12Processor CoreOcta CorePrimary Clock Speed2.2 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2400 x 1080 pixel', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
18,"('OnePlus 10R (Forest Green, 128 GB)', None)","('4.3', None)","('₹33,990', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/b/o/-original-imageypzw8gumvyz.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid 12Processor CoreOcta CorePrimary Clock Speed2.2 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2400 x 1080 pixel', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
19,"('OnePlus 8T 5G (Aquamarine Green, 256 GB)', None)","('3.3', None)","('₹34,999', None)","('https://rukminim2.flixcart.com/image/312/312/l27wtjk0/mobile/5/u/h/8t-5gq-kb2007-oneplus-original-imagdm22j9sxytss.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.64 cm (6.55 inch)Resolution2400 x 1080$$pixel', None)","('Network Type5GSupported Networks4G LTE, 5G, CDMA, GSM', None)","('Battery Capacity4500 mAh', None)"
20,"('OnePlus 10 Pro 5G (Volcanic Black, 128 GB)', None)","('4.2', None)","('₹54,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/i/g/-original-imaggcee7yprwrhx.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera48MP Rear Camera', None)","('Operating SystemAndroid 12Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216 x 1440 pixel', None)","('Network Type5GSupported Networks5G, CDMA, GSM', None)","('Battery Capacity5000 mAh', None)"
21,"('OnePlus 9 5G (Arctic Sky, 128 GB)', None)","('3.9', None)","('₹35,698', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/q/l/-original-imagdh239er3qnz2.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.64 cm (6.55 inch)Resolution2400 x 1080$$pixel', None)","('Network Type5GSupported NetworksCDMA, GSM, 4G LTE, 5G', None)","('Battery Capacity4500 mAh', None)"
22,"('OnePlus 8T 5G (Aquamarine Green, 128 GB)', None)","('4.4', None)","('₹29,990', None)","('https://rukminim2.flixcart.com/image/312/312/l27wtjk0/mobile/5/u/h/8t-5gq-kb2007-oneplus-original-imagdm22j9sxytss.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.64 cm (6.55 inch)Resolution2400 x 1080$$pixel', None)","('Network Type5GSupported Networks4G LTE, 5G, CDMA, GSM', None)","('Battery Capacity4500 mAh', None)"
23,"('OnePlus Nord (Gray Onyx, 64 GB)', None)","('4.3', None)","('₹24,490', None)","('https://rukminim2.flixcart.com/image/312/312/kdhphu80/mobile/n/v/j/oneplus-nord-b08695zsp6-original-imafue5gb5y3fwcy.jpeg?q=70', None)","('Internal Storage64 GBRAM6 GBMemory Card Slot TypeDedicated SlotCall Log MemoryYes', None)","('Primary Camera AvailableYesPrimary Camera48MP + 8MPPrimary Camera FeaturesCINE aspect ratio video recording, UltraShot HDR, Nightscape, Super macro, Portrait, Pro mode, Panorama, AI scene detection, RAW image, Filters, Quick shareOptical ZoomNoSecondary Camera AvailableYesSecondary Camera32MP + 8MP Dual Front CameraSecondary Camera FeaturesFace unlock, HDR, Screen flash, Face retouching, Filters, Ultra wide selfieFlashBackFrame Rate90 fpsDual Camera LensPrimary & Secondary Camera', None)","('Operating SystemAndroid Q 10Processor TypeQualcomm® Snapdragon™ 765GProcessor CoreOcta CorePrimary Clock Speed2.4 GHzSecondary Clock Speed2.2 GHz', None)","('Display Size16.36 cm (6.44 inch)Resolution2400 x 1080$$pixelResolution TypeFull HD+GPUAdreno 620Display Typefluid AmoledOther Display FeaturesVideo enhancer\nReading mode\nNight mode', None)","(""Network Type5G, 4G VOLTESupported Networks5G, GSMInternet ConnectivityIN, GSM, (850/900/1800/1900), WCDMA, (B1/B2/B4/B5/B8/B9/B19), LTE-FDD, (B1/2/3/4/5/7/8/12/17/18/19/20/26), LTE-TDD, (B38/39/40/41/46), 5G, N78, MIMO:LTE: B1, 3, 40 NR: N78, Network connectivity may vary depending on carrier's network and related service deployment3GYesBluetooth SupportYesBluetooth Version5.1Wi-FiYesWi-Fi Version802.11 a/b/g/n/acWi-Fi HotspotYesNFCYesUSB TetheringYesUSB ConnectivityYes"", None)","('Battery Capacity4115 mAhBattery Typelithium-ion', None)"
24,"('OnePlus 10R 5G (Sierra Black, 256 GB)', None)","('4.2', None)","('₹36,489', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/8/d/t/-original-imaggceexfwc4huw.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GB', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid 12Primary Clock Speed2.85 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution1080 x 2412 pixels', None)","('Network Type5GSupported Networks5G, 4G VoLTE, 4G LTE, GSM', None)","('Battery Capacity5000 mAh', None)"
25,"('OnePlus 11R 5G (Sonic Black, 128 GB)', None)","('4.5', None)","('₹39,495', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/x/a/11r-5g-5011102525-oneplus-original-imagn3afeqfr6acy.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Oxygen OxygenOS based on Android 13Processor CoreOcta CorePrimary Clock Speed3.2 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2772x1240 Pixels', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
26,"('OnePlus 10R 5G (Prime Blue, 128 GB)', None)","('4.3', None)","('₹33,986', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/y/c/-original-imagj5u8kmgaybya.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera AvailableYesPrimary Camera48MP + 2MP + 16MPPrimary Camera Features48MP rear camera with 4K video at 30/60 fps, 1080P video at 30/60 fps, super slow motion: 720p video at 480 fps, 1080p video at 240fps, time-lapse: 1080P 30fps, 4k 30fps, CINE aspect ratio video recording, ultrashot HDR, nightscape, micro, portrait, pro mode, panorama, cat&dog face detection&focus, AI scene detection, RAW image | 16MP front cameraOptical ZoomNoSecondary Camera AvailableYesSecondary Camera16MP Front CameraFlashBackHD RecordingYesFull HD RecordingYesVideo RecordingYesDigital Zoom2XDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Oxygen 12', None)","('Display Size17.02 cm (6.7 inch)Resolution2400 x 1080 Pixel', None)","('Network Type4G VOLTE, 4GSupported Networks4G VoLTE, 4G LTE', None)","('Battery Capacity5000 mAh', None)"
27,"('OnePlus 8 (Onyx Black, 128 GB)', None)","('4.5', None)","('₹34,990', None)","('https://rukminim2.flixcart.com/image/312/312/kabe9ow0/mobile/x/e/3/oneplus-8-b0756zfxwp12-original-imafrxffjyjztgjf.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBSupported Memory Card TypeMicroSDMemory Card Slot TypeDedicated Slot', None)","('Primary Camera AvailableYesPrimary Camera50MP Rear CameraPrimary Camera Features50MP+8MP+2MPSecondary Camera AvailableYesSecondary Camera Features16MPFlashYesDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Pie 10Processor TypeQualcomm Snapdragon 865Processor CoreOcta CorePrimary Clock Speed2.84 GHz', None)","('Display Size16.64 cm (6.55 inch)Resolution2400*1080 PixelGPUAdreno 650Display TypeFluid AMOLEDHD Game SupportYes', None)","('Network Type4G VOLTE, 5GSupported Networks4G VoLTE, 5GInternet ConnectivityWi-Fi 802.11, ac/ax/b/g/n/n 5GHz, MIMOBluetooth SupportYesBluetooth Version5.1Wi-FiYesWi-Fi Version802.11 a/b/g/n/ac/ax, 2.4G+5G, 2x2 MIMOWi-Fi HotspotYesUSB TetheringYesUSB ConnectivityYesGPS SupportYes', None)","('Battery Capacity4300 mAhBattery Typelithium-ion', None)"
28,"('OnePlus 10R 5G (Prime Blue, 128 GB)', None)","('4.3', None)","('₹32,995', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/c/g/10r-5g-cph2423-oneplus-original-imaggjmqyhvutg8w.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid Android 12Processor CoreOcta CorePrimary Clock Speed2.2 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2400 x 1080$$pixel', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
29,"('OnePlus 10R 5G (Sierra Black, 256 GB)', None)","('4.2', None)","('₹35,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/8/d/t/-original-imaggceexfwc4huw.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GB', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid 12Primary Clock Speed2.85 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution1080 x 2412 pixels', None)","('Network Type5GSupported Networks5G, 4G VoLTE, 4G LTE, GSM', None)","('Battery Capacity5000 mAh', None)"
30,"('OnePlus Nord 2 5G (PAC-MAN, 256 GB)', None)","('4.3', None)","('₹31,990', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/a/2/-original-imageyh6phsutybf.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Android 12Processor CoreOcta CorePrimary Clock Speed3 GHz', None)","('Display Size16.33 cm (6.43 inch)Resolution2400 x 1080$$pixel', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity4500 mAh', None)"
31,"('OnePlus 8T 5G (Aquamarine Green, 128 GB)', None)","('4.4', None)","('₹29,990', None)","('https://rukminim2.flixcart.com/image/312/312/l27wtjk0/mobile/5/u/h/8t-5gq-kb2007-oneplus-original-imagdm22j9sxytss.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera48MP Rear Camera', None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.64 cm (6.55 inch)Resolution2400 x 1080$$pixel', None)","('Network Type5GSupported Networks4G LTE, 5G, CDMA, GSM', None)","('Battery Capacity4500 mAh', None)"
32,"('OnePlus 10 Pro 5G (Volcanic Black, 128 GB)', None)","('4.2', None)","('₹54,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/i/g/-original-imaggcee7yprwrhx.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid 12Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216 x 1440 pixel', None)","('Network Type5GSupported Networks5G, CDMA, GSM', None)","('Battery Capacity5000 mAh', None)"
33,"('OnePlus 10R 5G (Forest Green, 256 GB)', None)","('4.2', None)","('₹44,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/b/o/-original-imageypzw8gumvyz.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid 12Processor CoreOcta CorePrimary Clock Speed2.2 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2400 x 1080 pixel', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
34,"('OnePlus 10T 5G (Moonstone Black, 256 GB)', None)","('4.2', None)","('₹48,990', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/k/9/-original-imaghfmfhfqc9fxz.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera AvailableYesPrimary Camera48MP + 2MP + 16MPPrimary Camera Features48MP rear camera with 4K video at 30/60 fps, 1080P video at 30/60 fps, super slow motion: 720p video at 480 fps, 1080p video at 240fps, time-lapse: 1080P 30fps, 4k 30fps, CINE aspect ratio video recording, ultrashot HDR, nightscape, micro, portrait, pro mode, panorama, cat&dog face detection&focus, AI scene detection, RAW image | 16MP front cameraOptical ZoomNoSecondary Camera AvailableYesSecondary Camera16MP Front CameraFlashBackHD RecordingYesFull HD RecordingYesVideo RecordingYesDigital Zoom2XDual Camera LensPrimary Camera', None)","('Operating SystemAndroid 12Processor CoreOcta CorePrimary Clock Speed3.19 MHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2412 x 1080 Pixels', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity4800 mAh', None)"
35,"('OnePlus 8 (Glacial Green, 128 GB)', None)","('4.5', None)","('₹32,990', None)","('https://rukminim2.flixcart.com/image/312/312/kabe9ow0/mobile/8/9/d/oneplus-8-b0756zfxwp456-original-imafrxffunruwqsh.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBSupported Memory Card TypeMicroSDMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary & Secondary Camera', None)","('Operating SystemAndroid Pie 10Processor TypeQualcomm Snapdragon 865Processor CoreOcta CorePrimary Clock Speed2.84 GHz', None)","('Display Size16.64 cm (6.55 inch)Resolution2400*1080 PixelGPUAdreno 650Display TypeFluid AMOLEDHD Game SupportYes', None)","('Network Type4G VOLTE, 5GSupported Networks4G VoLTE, 5GInternet ConnectivityWi-Fi 802.11, ac/ax/b/g/n/n 5GHz, MIMOBluetooth SupportYesBluetooth Version5.1Wi-FiYesWi-Fi Version802.11 a/b/g/n/ac/ax, 2.4G+5G, 2x2 MIMOWi-Fi HotspotYesUSB TetheringYesUSB ConnectivityYesGPS SupportYes', None)","('Battery Capacity4300 mAhBattery Typelithium-ion', None)"
36,"('OnePlus 11R 5G (Sonic Black, 256 GB)', None)","('4.5', None)","('₹44,990', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/x/a/11r-5g-5011102525-oneplus-original-imagn3afeqfr6acy.jpeg?q=70', None)","('Internal Storage256 GBRAM16 GB', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Oxygen OxygenOS based on Android 13Processor CoreOcta CorePrimary Clock Speed3.2 MHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2772 x 1240 Pixels', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
37,"('OnePlus 11 5G (Eternal Green, 128 GB)', None)","('4.4', None)","('₹56,800', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/8/3/11-5g-b0bqjlcqd3-oneplus-original-imagmugsquuygsbg.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera AvailableYesPrimary Camera48MP + 8MPPrimary Camera FeaturesCINE aspect ratio video recording, UltraShot HDR, Nightscape, Super macro, Portrait, Pro mode, Panorama, AI scene detection, RAW image, Filters, Quick shareOptical ZoomNoSecondary Camera AvailableYesSecondary Camera32MP + 8MP Dual Front CameraSecondary Camera FeaturesFace unlock, HDR, Screen flash, Face retouching, Filters, Ultra wide selfieFlashBackFrame Rate90 fpsDual Camera LensPrimary & Secondary Camera', None)","('Operating SystemAndroid OxygenOS based on Android 13Processor CoreOcta CorePrimary Clock Speed3.2 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216x1440', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
